ObjID	dusty_mass	dust_free_mass	star_light_mass	color(u-r)
587729386614489301	8.316	9.196	9.655	1.656
587722981741887597	8.646	9.740	10.042	1.340
587729386614882560	8.049	8.334	9.869	1.223
587722952230174996	9.045	8.158	9.458	1.610
587722981744640177	9.626	9.743	9.935	1.568
587729386615865431	9.738	8.013	9.895	1.950
587722952767242758	9.763	8.694	10.012	1.689
587722981745295552	10.047	8.009	10.043	2.100
587729386618356048	7.944	9.848	9.358	1.244
587722952767439282	10.129	7.791	10.041	2.364
587722981747392587	10.089	9.026	9.917	1.808
587729387135697234	8.648	8.445	9.325	1.308
587722952767505035	8.922	9.125	9.999	1.097
587722981754470511	9.057	9.256	10.031	1.781
587722953841770855	10.590	9.309	10.067	1.934
587729387137859729	7.895	9.317	9.565	1.345
587722953303916807	10.560	8.610	10.130	2.473
587722982278496424	9.832	7.768	9.797	1.835
587729387138842680	9.859	7.851	10.169	2.232
587722953303916935	9.825	9.431	9.720	1.744
587722982278889769	8.396	9.081	9.103	1.341
587729387149525120	7.684	7.769	8.820	1.515
587722953304113519	10.032	8.241	9.780	1.784
587722982280528042	9.859	9.823	10.080	2.207
587729387149721624	9.104	8.443	9.785	2.025
587722953304179083	9.867	9.159	9.937	2.235
587722982281838769	9.354	8.025	9.821	1.296
587729387150770275	8.368	8.591	9.781	2.444
587722953304310243	10.170	7.684	10.061	2.466
587722982281904263	9.619	9.376	9.929	3.034
587729387150901435	9.139	9.520	10.104	2.076
587722953304375642	9.630	8.581	10.001	2.305
587722982283214886	10.253	8.568	10.180	2.152
587722981750014081	10.364	7.174	10.047	1.896
587729387151294647	9.191	7.868	9.809	1.922
587722953304375673	9.513	8.467	9.858	2.066
587722982284460230	9.117	7.980	9.989	1.978
587722982278234125	8.853	8.303	9.234	1.175
587729387151491256	9.309	8.395	10.026	2.388
587722953304375746	9.896	8.587	9.867	2.332
587722982284460272	10.482	7.616	10.112	2.640
587722982278365259	10.319	8.132	9.917	2.498
587729387678400585	9.225	9.862	9.423	1.418
587722953304375760	9.608	8.167	9.969	2.329
587722982284787904	9.608	7.967	9.950	2.215
587722982279282858	9.751	8.039	10.058	1.913
587729387683053700	8.518	7.970	8.582	0.996
587722953304440846	9.970	6.805	10.017	2.430
587722982286753956	8.926	8.417	10.160	1.771
587722982279282959	8.838	8.661	9.561	1.153
587729387683053701	7.614	7.049	8.773	1.389
587722953304571922	9.551	7.121	9.442	2.369
587722982287278300	9.526	8.398	9.663	1.912
587729387686658135	7.796	8.129	9.064	1.138
587722953304572282	10.149	8.355	10.009	1.880
587722982287868005	8.704	7.531	9.330	1.112
587729387689017459	9.341	9.870	9.689	1.607
587722953304572300	10.215	8.202	9.995	2.108
587722982807568700	8.670	8.687	9.795	1.246
587729388210159776	8.989	8.032	9.911	1.545
587722953841639724	10.449	8.375	10.142	2.469
587722982814646350	8.847	8.651	10.021	1.485
587729388216778897	7.709	8.099	9.588	1.521
587722981741887707	9.023	8.243	10.144	1.433
587722982815498402	9.359	9.195	9.974	1.780
587722982286753946	9.532	8.775	9.603	1.919
587729388224643169	8.112	5.883	9.874	1.555
587722981743198442	8.949	8.397	9.809	1.250
587722982815498519	8.789	8.752	9.801	1.570
587722982293438533	9.796	9.410	9.806	1.618
587729388224643193	9.796	9.638	10.133	2.261
587722981743263847	8.788	8.618	9.375	1.526
587722982817726483	9.416	9.109	9.783	1.786
587722982294094056	9.608	8.784	10.014	1.544
587722981748834455	9.919	7.997	9.931	1.751
587722982817792115	9.371	7.146	9.778	2.135
587729388230803591	8.338	8.396	9.959	1.763
587722981752897881	9.450	7.829	9.683	1.402
587722982821265425	8.599	9.175	9.314	1.513
587729407540789455	9.147	8.817	9.601	1.693
587722981753421997	9.527	7.876	10.163	1.414
587722982823559369	8.689	9.284	9.970	1.655
587729407802343619	7.959	8.930	9.587	1.418
587722981753553097	8.609	8.436	8.502	0.758
587722982823624928	9.963	8.005	9.972	1.728
587729408074973344	8.479	7.986	9.843	1.031
587722981754077529	8.770	9.053	9.691	0.852
587722982824542342	9.033	8.071	9.899	1.162
587729408075956449	7.669	8.793	9.597	0.925
587722981755781380	9.104	8.162	9.397	1.540
587722982827360388	9.251	7.821	9.888	1.458
587722982297305128	9.119	7.064	9.017	1.152
587729408076480552	9.401	8.526	10.012	2.219
587722982278889623	10.271	7.719	10.085	1.775
587722982827491448	8.980	8.520	8.967	1.532
587722982297305365	10.385	7.625	9.902	1.894
587729408608895029	9.334	7.896	9.756	1.562
587722982279020629	9.709	9.268	9.892	1.986
587722982827622551	10.390	8.599	9.797	1.830
587722982297633118	9.031	7.769	9.644	1.230
587729408609812553	8.384	8.698	9.769	1.630
587722982279413903	8.945	8.602	9.620	1.251
587722983352107157	8.987	8.003	9.679	1.434
587722982297698635	10.616	8.074	10.006	2.064
587729408612761651	8.455	7.965	9.646	1.286
587722982279610435	10.090	8.612	10.098	2.335
587722983352696973	8.829	8.369	9.780	1.470
587729408620495044	7.171	8.550	7.092	0.651
587722982285705422	10.184	7.642	9.810	2.076
587722983353810983	9.918	8.263	9.857	1.864
587722982298222616	9.357	8.353	10.072	1.652
587729408876085461	7.785	9.698	10.051	1.024
587722982288785725	9.997	9.118	9.990	1.854
587722983354531977	9.308	8.346	9.763	1.652
587722982298615914	10.646	8.505	10.103	2.344
587729409681522865	8.430	9.291	9.618	1.467
587722982292324453	9.372	8.167	9.936	2.604
587722983355056285	10.134	8.422	10.131	2.501
587722982298616131	10.405	7.502	9.708	2.084
587729409686176036	7.905	8.786	9.368	0.889
587722982293045484	8.804	9.122	9.403	1.572
587722982298812764	9.081	9.316	10.072	1.549
587729746839994638	8.277	7.990	10.011	1.404
587722982295339166	8.742	8.686	10.040	1.117
587722983360823519	9.220	8.408	10.021	1.958
587722982299271230	10.700	8.425	9.987	2.091
587729746840060226	8.322	8.130	9.587	1.375
587722982295470273	9.347	9.368	10.002	1.925
587722983361413323	9.284	8.627	9.836	1.482
587722982300123578	9.960	9.757	9.800	1.530
587729747374244078	8.567	8.589	9.855	1.723
587722982295535769	8.660	9.984	9.457	1.269
587722983362986219	8.842	8.703	9.807	1.397
587722982300189107	9.185	8.658	9.830	1.103
587729751130636444	7.586	9.612	8.951	1.095
587722982297305523	9.292	8.841	9.134	1.460
587722983363117374	7.856	9.731	9.049	1.181
587722982300385404	10.556	9.149	10.010	2.612
587729772069257405	8.043	8.576	9.107	1.495
